Starting Crane Layout Optimization - FINAL SCENARIO (PSO)
Running Particle Swarm Optimization...
Iteration 1/200, Global Best Fitness: 2000000000.00
Iteration 69/200, Global Best Fitness: 14717.48
Iteration 70/200, Global Best Fitness: 14717.48
Iteration 71/200, Global Best Fitness: 14717.48
Iteration 72/200, Global Best Fitness: 14717.48
Iteration 73/200, Global Best Fitness: 14717.48
Iteration 74/200, Global Best Fitness: 14717.48
Iteration 75/200, Global Best Fitness: 14717.48
Iteration 76/200, Global Best Fitness: 14717.48
Iteration 77/200, Global Best Fitness: 14717.48
Iteration 78/200, Global Best Fitness: 14717.48
Iteration 79/200, Global Best Fitness: 14637.27
Iteration 80/200, Global Best Fitness: 14495.94
Iteration 81/200, Global Best Fitness: 14462.93
Iteration 82/200, Global Best Fitness: 14462.93
Iteration 83/200, Global Best Fitness: 14462.93
Iteration 84/200, Global Best Fitness: 14456.56
Iteration 85/200, Global Best Fitness: 14456.56
Iteration 86/200, Global Best Fitness: 14456.56
Iteration 87/200, Global Best Fitness: 14451.36
Iteration 88/200, Global Best Fitness: 14403.44
Iteration 89/200, Global Best Fitness: 14403.44
Iteration 90/200, Global Best Fitness: 14403.44
Iteration 91/200, Global Best Fitness: 14403.44
Iteration 92/200, Global Best Fitness: 14388.01
Iteration 93/200, Global Best Fitness: 14388.01
Iteration 94/200, Global Best Fitness: 14388.01
Iteration 95/200, Global Best Fitness: 14337.04
Iteration 96/200, Global Best Fitness: 14337.04
Iteration 97/200, Global Best Fitness: 14337.04
Iteration 98/200, Global Best Fitness: 14315.71
Iteration 99/200, Global Best Fitness: 14315.71
Iteration 100/200, Global Best Fitness: 14302.84
Iteration 101/200, Global Best Fitness: 14302.84
Iteration 102/200, Global Best Fitness: 14294.30
Iteration 103/200, Global Best Fitness: 14294.30
Iteration 104/200, Global Best Fitness: 14286.21
Iteration 105/200, Global Best Fitness: 14286.21
Iteration 106/200, Global Best Fitness: 14286.21
Iteration 107/200, Global Best Fitness: 14286.21
Iteration 108/200, Global Best Fitness: 14286.21
Iteration 109/200, Global Best Fitness: 14286.21
Iteration 110/200, Global Best Fitness: 14237.47
Iteration 111/200, Global Best Fitness: 14237.47
Iteration 112/200, Global Best Fitness: 14237.47
Iteration 113/200, Global Best Fitness: 14237.47
Iteration 114/200, Global Best Fitness: 14237.47
Iteration 115/200, Global Best Fitness: 14237.47
Iteration 116/200, Global Best Fitness: 14237.47
Iteration 117/200, Global Best Fitness: 14237.47
Iteration 118/200, Global Best Fitness: 14237.47
Iteration 119/200, Global Best Fitness: 14235.81
Iteration 120/200, Global Best Fitness: 14235.81
Iteration 121/200, Global Best Fitness: 14235.81
Iteration 122/200, Global Best Fitness: 14235.81
Iteration 123/200, Global Best Fitness: 14235.81
Iteration 124/200, Global Best Fitness: 14235.81
Iteration 125/200, Global Best Fitness: 14235.81
Iteration 126/200, Global Best Fitness: 14235.81
Iteration 127/200, Global Best Fitness: 14235.81
Iteration 128/200, Global Best Fitness: 14235.81
Iteration 129/200, Global Best Fitness: 14235.63
Iteration 130/200, Global Best Fitness: 14235.63
Iteration 131/200, Global Best Fitness: 14235.63
Iteration 132/200, Global Best Fitness: 14235.63
Iteration 133/200, Global Best Fitness: 14235.63
Iteration 134/200, Global Best Fitness: 14235.63
Iteration 135/200, Global Best Fitness: 14235.63
Iteration 136/200, Global Best Fitness: 14235.63
Iteration 137/200, Global Best Fitness: 14235.63
Iteration 138/200, Global Best Fitness: 14235.63
Iteration 139/200, Global Best Fitness: 14235.63
Iteration 140/200, Global Best Fitness: 14235.63
Iteration 141/200, Global Best Fitness: 14235.63
Iteration 142/200, Global Best Fitness: 14225.42
Iteration 143/200, Global Best Fitness: 14225.42
