Starting Crane Layout Optimization - SCENARIO: Base with Min Distance 50m
Running Dolphin Echolocation Algorithm...
Iteration 1/200, Best Fitness: 1000000000.00
Iteration 108/200, Best Fitness: 13849.80
Iteration 109/200, Best Fitness: 13849.80
Iteration 110/200, Best Fitness: 13849.80
Iteration 111/200, Best Fitness: 13849.80
Iteration 112/200, Best Fitness: 13849.80
Iteration 113/200, Best Fitness: 13849.80
Iteration 114/200, Best Fitness: 13849.80
Iteration 115/200, Best Fitness: 13849.80
Iteration 116/200, Best Fitness: 13849.80
Iteration 117/200, Best Fitness: 13849.80
Iteration 118/200, Best Fitness: 13849.80
Iteration 119/200, Best Fitness: 13849.80
Iteration 120/200, Best Fitness: 13843.16
Iteration 121/200, Best Fitness: 13843.16
Iteration 122/200, Best Fitness: 13843.16
Iteration 123/200, Best Fitness: 13843.16
Iteration 124/200, Best Fitness: 13843.16
Iteration 125/200, Best Fitness: 13843.16
Iteration 126/200, Best Fitness: 13843.16
Iteration 127/200, Best Fitness: 13843.16
Iteration 128/200, Best Fitness: 13843.16
Iteration 129/200, Best Fitness: 13843.16
Iteration 130/200, Best Fitness: 13843.16
Iteration 131/200, Best Fitness: 13843.16
Iteration 132/200, Best Fitness: 13843.16
Iteration 133/200, Best Fitness: 13843.16
Iteration 134/200, Best Fitness: 13843.16
Iteration 135/200, Best Fitness: 13842.92
Iteration 136/200, Best Fitness: 13842.92
Iteration 137/200, Best Fitness: 13842.92
Iteration 138/200, Best Fitness: 13842.92
Iteration 139/200, Best Fitness: 13842.92
Iteration 140/200, Best Fitness: 13842.92
Iteration 141/200, Best Fitness: 13842.92
Iteration 142/200, Best Fitness: 13842.92
Iteration 143/200, Best Fitness: 13842.92
Iteration 144/200, Best Fitness: 13842.92
Iteration 145/200, Best Fitness: 13842.92
Iteration 146/200, Best Fitness: 13842.92
Iteration 147/200, Best Fitness: 13841.85
Iteration 148/200, Best Fitness: 13841.14
Iteration 149/200, Best Fitness: 13841.14
Iteration 150/200, Best Fitness: 13841.14
Iteration 151/200, Best Fitness: 13841.11
Iteration 152/200, Best Fitness: 13841.09
Iteration 153/200, Best Fitness: 13841.08
Iteration 154/200, Best Fitness: 13841.08
Iteration 155/200, Best Fitness: 13841.08
Iteration 156/200, Best Fitness: 13841.08
Iteration 157/200, Best Fitness: 13841.07
Iteration 158/200, Best Fitness: 13841.07
Iteration 159/200, Best Fitness: 13841.07
Iteration 160/200, Best Fitness: 13841.07
Iteration 161/200, Best Fitness: 13841.07
Iteration 162/200, Best Fitness: 13841.07
Iteration 163/200, Best Fitness: 13841.07
Iteration 164/200, Best Fitness: 13841.07
Iteration 165/200, Best Fitness: 13841.07
Iteration 166/200, Best Fitness: 13838.77
Iteration 167/200, Best Fitness: 13838.77
Iteration 168/200, Best Fitness: 13838.77
Iteration 169/200, Best Fitness: 13838.77
Iteration 170/200, Best Fitness: 13838.77
Iteration 171/200, Best Fitness: 13838.49
Iteration 172/200, Best Fitness: 13837.85
Iteration 173/200, Best Fitness: 13837.85
Iteration 174/200, Best Fitness: 13837.85
Iteration 175/200, Best Fitness: 13837.85
Iteration 176/200, Best Fitness: 13837.85
Iteration 177/200, Best Fitness: 13837.85
Iteration 178/200, Best Fitness: 13837.85
Iteration 179/200, Best Fitness: 13837.85
Iteration 180/200, Best Fitness: 13837.85
Iteration 181/200, Best Fitness: 13837.85
Iteration 182/200, Best Fitness: 13837.85
Iteration 183/200, Best Fitness: 13837.85
Iteration 184/200, Best Fitness: 13837.85
Iteration 185/200, Best Fitness: 13837.85
Iteration 186/200, Best Fitness: 13837.85
Iteration 187/200, Best Fitness: 13837.85
Iteration 188/200, Best Fitness: 13837.85
Iteration 189/200, Best Fitness: 13837.63
Iteration 190/200, Best Fitness: 13837.40
Iteration 191/200, Best Fitness: 13837.16
Iteration 192/200, Best Fitness: 13837.06
Iteration 193/200, Best Fitness: 13837.06
Iteration 194/200, Best Fitness: 13837.02
Iteration 195/200, Best Fitness: 13837.00
Iteration 196/200, Best Fitness: 13837.00
Iteration 197/200, Best Fitness: 13837.00
Iteration 198/200, Best Fitness: 13836.99
Iteration 199/200, Best Fitness: 13836.99
Iteration 200/200, Best Fitness: 13836.99
=============================================
OPTIMIZATION FINISHED
=============================================
Algorithm: Dolphin Echolocation Algorithm
Total Execution Time: 11.03 seconds
Best Objective Function Value (Total Time): 13836.97 seconds
Optimal Crane Positions (x, y) for 6 cranes:
  Crane 1: (166.20, 60.14)
  Crane 2: (12.73, 42.60)
  Crane 3: (110.57, 60.53)
  Crane 4: (89.66, 14.86)
  Crane 5: (218.54, 46.07)
  Crane 6: (41.80, 0.00)
=============================================
Program Ended.
>> 
